t;speed;angle;e_q_t;e_q_st
2.275;-0.000279508;0.663328046;1.024399875;0.973027879
2.28;-0.000348749;0.662834431;1.024630306;0.973194692
2.285;-0.000416525;0.662233186;1.024853908;0.973368279
2.29;-0.000482713;0.66152671;1.025070357;0.973548286
2.295;-0.000547192;0.660717593;1.02527935;0.973734344
2.3;-0.000609848;0.65980861;1.025480602;0.973926076
2.305;-0.000670568;0.658802713;1.02567385;0.974123089
2.31;-0.000729249;0.657703026;1.025858851;0.974324982
2.315;-0.000785789;0.656512832;1.026035385;0.974531347
2.32;-0.000840093;0.655235568;1.026203254;0.974741766
2.325;-0.000892072;0.653874819;1.026362282;0.974955816
2.33;-0.000941643;0.652434302;1.026512315;0.975173068
2.335;-0.000988726;0.650917863;1.026653224;0.97539309
2.34;-0.00103325;0.649329468;1.026784902;0.975615447
2.345;-0.001075148;0.647673189;1.026907263;0.975839703
2.35;-0.001114361;0.645953197;1.027020249;0.976065421
2.355;-0.001150834;0.644173755;1.02712382;0.976292168
2.36;-0.001184521;0.642339204;1.027217963;0.976519509
2.365;-0.001215379;0.640453955;1.027302683;0.976747017
2.37;-0.001243374;0.638522478;1.027378011;0.976974267
2.375;-0.001268478;0.636549294;1.027443998;0.977200841
2.38;-0.001290668;0.634538962;1.027500718;0.977426327
2.385;-0.00130993;0.632496073;1.027548264;0.977650322
2.39;-0.001326253;0.630425235;1.027586749;0.977872432
2.395;-0.001339636;0.628331066;1.027616309;0.978092272
2.4;-0.001350081;0.626218184;1.027637096;0.978309469
2.405;-0.001357599;0.624091195;1.027649279;0.978523661
2.41;-0.001362206;0.621954686;1.027653049;0.978734499
2.415;-0.001363923;0.619813213;1.027648611;0.978941648
2.42;-0.001362781;0.617671292;1.027636184;0.979144785
2.425;-0.001358812;0.615533391;1.027616006;0.979343603
2.43;-0.001352056;0.613403918;1.027588325;0.97953781
2.435;-0.001342561;0.611287215;1.027553406;0.97972713
2.44;-0.001330375;0.609187548;1.027511523;0.979911301
