logid,runid,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,lambda,rel_tol,abs_tol,val_freq,mert_batch,loss_function,regularization,optimizer,Frechet_distance,inference_time,training_time
63,32,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,24.845264964116875,0.0499669997952878,1.000738664995879
64,33,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,75.4901101658456,0.0435126251541078,0.498854583594948
65,33,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,27.411811662867123,0.0505185830406844,1.022408165037632
66,34,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,53.51726627693143,0.0460127079859375,0.5028980015777051
67,34,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,23.102256095199994,0.053353208117187,1.0048709600232542
68,35,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,27.44903367135817,0.0484248329885304,0.5013552918098867
69,35,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.47893769809084,0.0491838329471647,0.9930530418641864
70,36,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,26.21684137508397,0.0456342077814042,0.5006643352098763
71,36,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,27.08611387855562,0.047814792022109,0.988739043008536
72,37,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,45.54198215674981,0.048132583964616,0.5365525018423796
73,37,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,31.51556542762715,0.0506182089447975,1.0694334194995463
74,38,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,48.879536369747065,0.0455496655777096,0.5079133356921375
75,38,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.96119425245418,0.0496084997430443,1.0482181259430945
76,39,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,17.068941508282464,0.0461757080629467,0.4907716671004891
77,39,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,25.784412014008225,0.0496338340453803,0.9826165018603206
78,40,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,25.560939777345457,0.047185624949634,0.5175890433602035
79,40,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,37.8368540324038,0.0508880419656634,1.3034644620493054
80,41,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,24.387657713037083,0.0449119578115642,0.5197398751042783
81,41,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.12265530147852,0.0504505829885602,1.0329738752916455
82,42,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.873528331746872,0.0468924576416611,0.5211204192601144
83,42,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.89601421625764,0.0502353329211473,1.035468793939799
84,43,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.2093960437943,0.045668332837522,0.5408842512406409
85,43,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,24.900238649209964,0.0491918749175965,1.0310546276159585
86,44,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,27.261243578458995,0.04092354234308,0.5020905835554004
87,44,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.92052644516944,0.0466425833292305,0.9833697085268795
88,45,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,61.67121132225172,0.0461482079699635,0.5019197072833776
89,45,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.04694742214179,0.0478187911212444,0.9900254174135624
90,46,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,67.71427575169561,0.0426810001954436,0.5081821256317198
91,46,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.2295728020816,0.0478897909633815,1.00691241864115
92,47,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,34.90030074596042,0.042980208992958,0.5225213337689638
93,47,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.50707210474504,0.0492382501251995,1.000270831398666
94,48,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,66.55982691672004,0.0424219998531043,0.5003676665946841
95,48,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.885899452238075,0.0515727922320365,1.0156628745608032
96,49,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,18.350243662213,0.0440621660090982,0.5020256233401597
97,49,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.17118085339991,0.0472325421869754,0.9883515420369804
98,50,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,35.60119424948943,0.0482398332096636,0.5465686675161123
99,50,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,23.34857976673425,0.050145249813795,1.030876043252647
100,51,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.28844296402064,0.0444762082770466,0.4808375835418701
101,51,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,26.504000545026912,0.049053959082812,0.953577001579106
102,52,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.834296113773465,0.0445998748764395,0.5017692083492875
103,52,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.61783953530246,0.0485626668669283,0.993615456391126
104,53,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,46.73767778989839,0.0430387090891599,0.5401679994538426
105,53,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,23.25766535483111,0.0488756247796118,1.0870327092707155
106,54,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,68.0448085071114,0.0418745833449065,0.5032601207494736
107,54,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.24289002043925,0.0486220000311732,1.014618495479226
108,55,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.88943523836896,0.0453199590556323,0.485767375677824
109,55,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,23.98335801132943,0.0467052501626312,0.9879025830887258
110,56,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,48.01739170616687,0.0437079998664557,0.5593862943351269
111,56,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.81081493748926,0.0472887502983212,1.1084869201295078
112,57,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,33.06444092222214,0.0440996252000331,0.4822347909212112
113,57,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.27949655728965,0.0512644578702747,0.9917758330702782
114,58,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,112.33681977542766,0.0457114996388554,0.4787532910704613
